자치구,안심 주소,lat,lng,cctv_cnt,수정 일시,dong
성동구,C067_(회전)_성수2가1동 223-10,37.5353,127.0578,1,2022-12-01,성수동2가
성동구,C068_(고정1)9_세븐일레븐 성수영동교점,37.5359,127.059,1,2022-12-01,성수동2가
성동구,C068_(고정2)1_영동대교 북단,37.5359,127.059,1,2022-12-01,성수동2가
성동구,C068_(고정3)3_골목길(남동),37.5359,127.059,1,2022-12-01,성수동2가
성동구,C068_(회전)_성수2가1동 216-8,37.5359,127.059,1,2022-12-01,성수동2가
성동구,C069_(고정1)4_성수1가1동주민센터,37.542,127.0536,1,2022-12-01,성수동2가
성동구,C069_(고정2)3_동부기동대,37.542,127.0536,1,2022-12-01,성수동2가
성동구,C069_(고정3)9_성수역,37.542,127.0536,1,2022-12-01,성수동2가
성동구,C069_(회전)_성수2가1동 321-17,37.542,127.0536,1,2022-12-01,성수동2가
성동구,C070_(고정1)1_동부기동대,37.5416,127.0552,1,2022-12-01,성수동2가
성동구,C070_(고정2)7_서울숲코오롱디지털타워2차,37.5416,127.0552,1,2022-12-01,성수동2가
성동구,C070_(고정3)9_성수역,37.5416,127.0552,1,2022-12-01,성수동2가
성동구,C070_(회전)_성수2가1동 321-66,37.5416,127.0552,1,2022-12-01,성수동2가
성동구,C071_(고정1)3_경수중학교 방향,37.5391,127.057,1,2022-12-01,성수동2가
성동구,C071_(고정2)4_성수2가1동주민센터,37.5391,127.057,1,2022-12-01,성수동2가
성동구,C071_(고정3)6_경수초등학교 (신성노바빌아파트 내) (분기),37.5391,127.057,1,2022-12-01,성수동2가
성동구,C071_(회전)_성수2가1동 328-61,37.5391,127.057,1,2022-12-01,성수동2가
성동구,C072_(고정1)1_서울숲지구대 방향,37.5392,127.0535,1,2022-12-01,성수동2가
성동구,C072_(고정2)9_성수2가1동주민센터,37.5392,127.0535,1,2022-12-01,성수동2가
성동구,C072_(회전)_성수2가1동 339-10,37.5392,127.0535,1,2022-12-01,성수동2가
성동구,C073_(고정1)1_강변현대아파트 방향,37.5374,127.0509,1,2022-12-01,성수동2가
성동구,C073_(고정2)3_한강한신아파트 방향,37.5374,127.0509,1,2022-12-01,성수동2가
성동구,C073_(고정3)7_영진그린빌라 방향,37.5374,127.0509,1,2022-12-01,성수동2가
성동구,C073_(회전)_성수2가1동 378-1,37.5374,127.0509,1,2022-12-01,성수동2가
성동구,C074_(고정1)7_성원중학교,37.5373,127.0526,1,2022-12-01,성수동2가
성동구,C074_(고정2)3_성수2가1동 노인정,37.5373,127.0526,1,2022-12-01,성수동2가
성동구,C074_(고정3)9_성수동 장로교회 방향 골목길(분기),37.5373,127.0526,1,2022-12-01,성수동2가
성동구,C074_(회전)_성수2가1동 472-2,37.5373,127.0526,1,2022-12-01,성수동2가
성동구,C075_(고정1)7_서울숲지구대 방향,37.5361,127.0533,1,2022-12-01,성수동2가
성동구,C075_(고정2)9_세븐일레븐 성수으뜸점 방향,37.5361,127.0533,1,2022-12-01,성수동2가
성동구,C075_(고정3)3_청구강변아파트 방향,37.5361,127.0533,1,2022-12-01,성수동2가
성동구,C075_(회전)_성수2가1동 779-2,37.5361,127.0533,1,2022-12-01,성수동2가
성동구,C076_(고정1)9_성일어린이집 방향,37.5496,127.0464,1,2022-12-01,성수동1가
성동구,C076_(고정2)7_성일공원 방향,37.5496,127.0464,1,2022-12-01,성수동1가
성동구,C076_(회전)_아차산로1길 19,37.5496,127.0464,1,2022-12-01,성수동1가
성동구,C077_(고정1)6_상원삼거리 방향,37.5514,127.0454,1,2022-12-01,성수동1가
성동구,C077_(고정2)4_성동교 교차로 방향,37.5514,127.0454,1,2022-12-01,성수동1가
성동구,C077_(회전)_광나루로 138,37.5514,127.0454,1,2022-12-01,성수동1가
성동구,C078_(고정1)7_성동교 교차로 방향,37.55,127.0445,1,2022-12-01,성수동1가
성동구,C078_(고정2)2_뚝섬역 교차로 방향,37.55,127.0445,1,2022-12-01,성수동1가
성동구,C078_(고정3)3_왕십리로14길,37.55,127.0445,1,2022-12-01,성수동1가
성동구,C078_(고정4)9_살곶이 공원,37.55,127.0445,1,2022-12-01,성수동1가
성동구,C078_(고정5)9_송원빌딩(분기),37.5501,127.0446,1,2022-12-01,성수동1가
성동구,C078_(회전)_왕십리로14길 1,37.55,127.0445,1,2022-12-01,성수동1가
성동구,C080_(고정1)8_중랑천 방향,37.5489,127.0425,1,2022-12-01,성수동1가
성동구,C080_(고정2)1_골목길(남동)방향,37.5489,127.0425,1,2022-12-01,성수동1가
성동구,C080_(고정3)3_뚝섬역 교차로 방향,37.5489,127.0425,1,2022-12-01,성수동1가
성동구,C080_(회전)_성수1가2동 685-185,37.5489,127.0425,1,2022-12-01,성수동1가
성동구,C081_(고정1)1_경수초교,37.542,127.0597,1,2022-12-01,성수동2가
성동구,C081_(고정2)7_아모레퍼시픽 방향,37.542,127.0597,1,2022-12-01,성수동2가
성동구,C081_(고정3)9_아차산로 방향,37.542,127.0597,1,2022-12-01,성수동2가
